adenocarcinoma,en,Q356033,Q82315194,Q55787984,Q79495482,Q18555055,Q843799,Q18556047,Q18554959,Q18557775,Q18555946,Q18555277,Q18556045,Q18555274,Q18556545,Q18556189,Q18555956,Q7132981,Q54808310,Q18556542,Q5130800,Q55880513,Q18555221,Q18556985,Q55780172,Q18556553,Q55780098,Q18556563,Q27902825,Q93456580,Q54808730,Q54813521,Q107116542,Q54813524,Q54808732,Q54808213,Q55779823,Q54807830,Q54955559,Q98134208,Q54949516,Q54938674,Q54938680,Q54796906,Q54947492,Q54938660,Q54832167,Q54808311,Q54947496,Q54938705,Q19000986
adobe audition icon,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY
adolf hitler,en,Q100345867,Q352,Q20463000,Q78526535,Q12626556,Q158314,Q1993476,Q67014228,Q76433,Q103769177,Q700285,Q3374401,Q84328,Q22084775,Q64799,Q360587,Q363223,Q83718993,Q16607081,Q84642,Q22084776,Q78500,Q28108256,Q569436,Q4356352,Q103240562,Q21940027,Q1445251,Q19757883,Q1082143,Q22084744,Q360607,Q7727870,Q562028,Q2139521,Q60791315,Q2995740,Q6852239,Q392636,Q21940023,Q2116032,Q66225,Q698102,Q62067,Q21940025,Q156970,Q2995113,Q4684105,Q163181,Q815003
africa,en,Q15,Q181238,Q383842,Q4689536,Q383824,Q2826147,Q6172568,Q99290069,Q4689531,Q383855,Q383848,Q16159116,Q3606221,Q19974920,Q4689532,Q510586,Q4689534,Q3606223,Q19871650,Q16142904,Q23858249,Q4689465,Q4689537,Q24899010,Q28810314,Q4689535,Q78126217,Q4412,Q136898,Q27407,Q27381,Q258,Q27394,Q132959,Q27433,Q105082407,Q953068,Q3926,Q153963,Q193619,Q5468,Q132410,Q165956,Q34647,Q688351,Q11831154,Q276550,Q1364269,Q1423651,Q27721519
AFRICA ANTIGA,en,Q2826232,Q11772,Q106428113,Q81725,Q106425989,Q11768,Q8467400,Q7161894,Q36262,Q218861,Q43327,Q555360,Q266722,Q25774532,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY
agamemnon george e. koronaios,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY
aika,fi,Q9142818,Q4696900,Q11850028,Q235640,Q11471,Q17522177,Q29934149,Q2827920,Q20252479,Q237348,Q11899816,Q4529178,Q97206625,Q6495391,Q238526,Q17381929,Q107293427,Q98725990,Q21780572,Q11890166,Q18677374,Q11874779,Q11891523,Q16295813,Q11850031,Q11873380,Q11864001,Q23045337,Q99453434,Q11883694,Q18680233,Q909085,Q11885545,Q11850027,Q18680082,Q107182385,Q28721635,Q21043911,Q20737021,Q27102832,Q18677521,Q17381522,Q1145106,Q20737109,Q50814591,Q3134980,Q105621532,Q11850030,Q11850029,Q23040302
airplane,en,Q197,Q10403873,Q16157083,Q4698858,Q1176641,Q16097523,Q102961533,Q770863,Q497256,Q107015248,Q22372383,Q7553860,Q22372485,Q16002226,Q7132589,Q57289743,Q488260,Q1051042,Q22372442,Q7537311,Q18615379,Q5477196,Q392511,Q3962627,Q17042607,Q4698859,Q51289818,Q4406825,Q4035243,Q1872947,Q24175399,Q7132590,Q502303,Q1072096,Q21029357,Q6826182,Q7653092,Q8565097,Q10583973,Q56276096,Q577604,Q1319311,Q869979,Q9023038,Q511288,Q514193,Q727522,Q898564,Q8565104,Q7938792
airstrip,en,Q3631092,Q18353981,Q25106109,Q21945209,Q32222796,Q96386065,Q7398350,Q22372686,Q48729850,Q35253245,Q49748261,Q1177929,Q56400061,Q49752047,Q49746832,Q25101401,Q35270194,Q49746788,Q22372703,Q22372661,Q17108392,Q12474051,Q21476339,Q21974272,Q49751737,Q34960652,Q61308481,Q19545426,Q35258711,Q49747200,Q49751034,Q41768881,Q49747485,Q15222252,Q430611,Q5763887,Q49745752,Q49748049,Q35283657,Q49750646,Q35322624,Q56165126,Q20584362,Q49748060,Q4490073,Q65117808,Q15936265,Q7415195,Q7303985,Q49745805
Aivazovsky,en,Q52157763,Q1382395,Q77550722,Q4381053,Q105084616,Q77554040,Q105525675,Q105393409,Q105084881,Q77550604,Q105078432,Q105267031,Q24698212,Q85113241,Q4314838,Q105078154,Q105103674,Q61742551,Q105299395,Q102040986,Q77551110,Q84819067,Q105392226,Q77551143,Q105504516,Q105078525,Q105265393,Q77551128,Q105071751,Q105080035,Q105104062,Q105194698,Q105084589,Q105080089,Q105296437,Q105221629,Q77550581,Q105528908,Q77551131,Q105542952,Q50611729,Q105542536,Q105197110,Q105071596,Q105547564,Q105071503,Q105563154,Q105525661,Q105071460,Q105071615
