Big Ben,en,Q41225,Q4905080,Q858516,Q2902145,Q858503,Q342107,Q12785867,Q21937151,Q21939306,Q31473279,Q21937152,Q21966177,Q4905078,Q31708143,Q23959291,Q21963571,Q31708174,Q21963572,Q31708159,Q31676809,Q31880297,Q97331712,Q49399531,Q31688414,Q4905081,Q4905082,Q51622858,Q28042556,Q2676434,Q64539830,Q3599630,Q30901872,Q96278603,Q4905086,Q4905083,Q21958540,Q97331713,Q22413738,Q7249006,Q21938562,Q21918094,Q29096490,Q4687030,Q29075175,Q24263564,Q816453,Q3486618,Q295364,Q599161,Q537679,
south africa community health workers,en,Q60287129,Q74223973,Q104466998,Q91628571,Q91142113,Q93054631,Q64352821,Q94583465,Q46982324,Q58761825,Q46398477,Q33691379,Q94682473,Q34169894,Q102382208,Q58701482,Q99563465,Q46431411,Q39849314,Q93161524,Q37237239,Q64080191,Q90925486,Q92490469,Q35114182,Q50201486,Q102992645,Q34207119,Q46644723,Q46689914,Q34134729,Q96811526,Q91293878,Q39784862,Q59758303,Q57929515,Q100545473,Q46853687,Q92425332,Q34578923,Q61826273,Q98948068,Q89514024,Q92463525,Q56669457,Q91023305,Q56935279,Q99563447,Q60048761,Q58741213,
space x,en,Q193701,Q1459905,Q102310050,Q3125220,Q934367,Q62542,Q7572426,Q1275802,Q229058,Q1071795,Q1933134,Q85018523,Q180953,Q52152,Q90899465,Q1473823,Q2032198,Q96372870,Q179899,Q955372,Q48821,Q163922,Q392953,Q1362228,Q93916661,Q238125,Q7572480,Q3390658,Q2693800,Q91474413,Q55604159,Q613057,Q4817086,Q1108347,Q27715068,Q864919,Q2033899,Q37708822,Q23548,Q699152,Q41305015,Q890219,Q1093627,Q14918,Q18205771,Q49002,Q693861,Q766426,Q17122887,Q236448,
SPACEPOWER LOGO,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Sporerhandwerk,da,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
sport equipment,en,Q768186,Q2000617,Q1581852,Q47516567,Q2467501,Q240502,Q43399738,Q59555906,Q61278974,Q1228822,Q11317559,Q352222,Q2827268,Q874669,Q16990955,Q10708175,Q5315461,Q3179671,Q911069,Q22101917,Q1772921,Q1719546,Q3980595,Q41863474,Q7213781,Q16738425,Q10971093,Q2369442,Q508918,Q7157843,Q54311501,Q48252505,Q2399395,Q12010840,Q465453,Q48252513,Q3747846,Q28069896,Q86416281,Q37835950,Q4651707,Q24597072,Q2119382,Q91693821,Q26771291,Q16147299,Q30947025,Q37973603,Q91593871,Q34430702,
ss-201,en,Q85828171,Q89445371,Q93220377,Q3974840,Q76916423,Q21540139,Q2471420,Q2013415,Q8336347,Q68137918,Q68112999,Q7559031,Q26357622,Q69910663,Q52138294,Q77813709,Q68638917,Q43633438,Q44974521,Q53438343,Q51629591,Q94305131,Q26349366,Q71269696,Q68525140,Q68476470,Q7866660,Q68520933,Q77189208,Q74377166,Q724582,Q87219419,Q81283677,Q39098947,Q42128853,Q24641178,Q33888484,Q41020207,Q68332973,Q48911825,Q63297260,Q63293593,Q38342069,Q68613533,Q68253361,Q68114966,Q68166448,Q68199864,Q68270334,Q68642595,
st paul IV pope,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
st tiago de compostella,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Staffordshire bullterrier,en,Q39285,Q37688,Q37612,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Stanisław Kowalski,en,Q17362196,Q17558303,Q30903237,Q19844516,Q9342328,Q80701578,Q27503613,Q104419340,Q9342330,Q9343487,Q9342338,Q11720484,Q39039422,Q11769206,Q97515221,Q54598964,Q81054023,Q80169147,Q73800757,Q57726330,Q90847973,Q93086964,Q46053124,Q46752657,Q84800897,Q41694174,Q62046373,Q62046383,Q11730526,Q78758517,Q62046398,Q43108351,Q40657834,Q92818947,Q36591260,Q39980886,Q88024898,Q62046375,Q51100190,Q718495,Q62046386,Q62046366,Q45247541,Q57718347,Q57718473,Q57798686,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Star Nutzfahrzeuge,de,Q708667,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
starry night,en,Q29386,Q100144774,Q7602273,Q16951270,Q13580227,Q7602276,Q7602274,Q104865886,Q96419413,Q7602281,Q18209775,Q47430923,Q64581820,Q5358400,Q65576935,Q18890923,Q18890924,Q18890926,Q18890927,Q18890925,Q45585,Q7602265,Q920366,Q59065714,Q43989244,Q19026050,Q26221341,Q65252047,Q76349494,Q76349496,Q7391900,Q22963240,Q79873157,Q76349492,Q28127306,Q42432168,Q76349500,Q80013281,Q24211321,Q104191300,Q4911581,Q76349504,Q19538082,Q79873445,Q1464531,Q65043025,Q93034763,Q79873448,Q104191136,Q80983068,
statue pincoi,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Stazione centrale milano,it,Q801193,Q7605143,Q3970114,Q19138551,Q3854475,Q2258125,Q19131596,Q2493917,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
steve hunter,en,Q62577039,Q2779077,Q100806764,Q19961505,Q17402991,Q78798761,Q28919280,Q126513,Q7612960,Q78799146,Q1926275,Q7655899,Q7775280,Q17599482,Q36429186,Q44478357,Q63375557,Q93155427,Q96814363,Q37607261,Q92478367,Q80228779,Q94546531,Q36082370,Q57839000,Q27477599,Q91298080,Q55881683,Q28592096,Q91943526,Q81254806,Q39957722,Q97518509,Q77680610,Q52640983,Q57001779,Q99719303,Q60713926,Q56419096,Q35865361,Q33740872,Q27939265,Q92707519,Q27932985,Q94145613,Q28588584,Q27934346,Q40528430,Q28586559,Q30499159,
Still Life with Five Bottles,en,Q26220101,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Strainihg,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
strawberry moon,en,Q36865552,Q11244757,Q7622458,Q31839155,Q37366283,Q57542771,Q38503316,Q38435646,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
strogonoff,en,Q849058,Q849792,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
students asian,en,Q99537786,Q80924167,Q81053795,Q81180315,Q94165820,Q74539071,Q74600624,Q53099591,Q99725129,Q93840888,Q93841450,Q81052588,Q72954788,Q56688192,Q70380192,Q55894194,Q58612354,Q42817912,Q64134677,Q59322139,Q56688193,Q58346492,Q104287200,Q37611665,Q74694717,Q96336169,Q72768427,Q74539670,Q83301546,Q47670194,Q56897999,Q76728792,Q44575574,Q57203061,Q34618198,Q58213387,Q70380190,Q105027786,Q99718374,Q53099496,Q100378662,Q60308548,Q5159926,Q33788610,Q15754684,Q46062523,Q59554122,Q56286328,Q84173589,Q60767609,
study abroad at santa clara university,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Stworzenie Adama(musisz,pl,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
submission of application,en,Q82851175,Q92004626,Q100554728,Q90140157,Q100554713,Q73546186,Q71361414,Q50515872,Q55451200,Q64134837,Q78371547,Q67584213,Q45065689,Q47154017,Q88565037,Q96111363,Q30328391,Q60037390,Q70439788,Q70350333,Q77152244,Q92831700,Q47150438,Q94705302,Q66344063,Q93086909,Q102145339,Q903775,Q918221,Q58938427,Q33614062,Q87356625,Q35793122,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Südeuropa,de,Q55755068,Q27449,Q90049955,Q238,Q237,Q96633337,Q38,Q219,Q235,Q233,Q1780058,Q172579,Q15852205,Q57416942,Q6489,Q17972632,Q1033294,Q934644,Q1150680,Q119689,Q1418911,Q116741,Q131192,Q625139,Q99577326,Q99577577,Q1863609,Q7453281,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
sulfide,en,Q56250626,Q221205,Q727732,Q170591,Q414138,Q1113116,Q120618,Q4016674,Q46008137,Q411830,Q3638833,Q19860879,Q2541374,Q417794,Q416203,Q42303604,Q8072285,Q19833648,Q19810694,Q19860838,Q1680828,Q4008931,Q3633161,Q413516,Q80197642,Q87162516,Q3637110,Q1948360,Q19810684,Q19799621,Q3639106,Q410396,Q87165628,Q19833345,Q2249899,Q936060,Q19861050,Q1796630,Q19861087,Q19861287,Q3896123,Q19833646,Q19860993,Q19862084,Q411436,Q22284476,Q927407,Q14913092,Q22318096,Q14916243,
sumo wrestling,en,Q40561,Q2727289,Q78837207,Q59038881,Q63645033,Q20983101,Q11362542,Q74072084,Q56228448,Q100352726,Q907647,Q1345471,Q2353281,Q175637,Q8081646,Q8081815,Q7960769,Q8062096,Q6434180,Q6778055,Q7960763,Q7811981,Q7830681,Q8056220,Q11616183,Q11650446,Q7705354,Q3874517,Q5268068,Q7811995,Q6788126,Q7811983,Q7677474,Q38276552,Q11293792,Q6202278,Q4803190,Q27151180,Q7700733,Q7830701,Q7812007,Q11431782,Q3067493,Q7425770,Q17160247,Q5209101,Q8056264,Q6362013,Q1092635,Q34455419,
sun cartoon png,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Sunexpress Deutschland,de,Q1726112,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
superhero,en,Q76424139,Q188784,Q3305352,Q2854754,Q3504665,Q7643417,Q7643419,Q7643416,Q60769842,Q2367569,Q85804237,Q16636749,Q104842697,Q21129687,Q69828277,Q6946476,Q63248284,Q1535153,Q3977919,Q15720567,Q783880,Q7643428,Q7937835,Q18614912,Q64759467,Q7643429,Q7643425,Q56573067,Q7643432,Q25040584,Q1143338,Q79003458,Q97222309,Q58534385,Q1181295,Q445427,Q104868526,Q63998451,Q64822734,Q31185940,Q56708907,Q101720774,Q18678668,Q7643426,Q16931474,Q56676414,Q2916274,Q56676389,Q91041235,Q91041236,
Survivor Winners at War logo,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
svg fasces,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
sweatt,en,Q37480720,Q2372247,Q6923964,Q2903725,Q1400493,Q49452993,Q5544981,Q57077183,Q7945921,Q34873578,Q7794296,Q100930187,Q83451330,Q669219,Q64620838,Q16010139,Q63214733,Q12004479,Q99571170,Q52414349,Q37425986,Q37347946,Q37589621,Q37338267,Q58192688,Q33930416,Q35803116,Q83108255,Q56564514,Q90600553,Q82961775,Q85009188,Q35851895,Q37556925,Q78305921,Q34504038,Q85058496,Q72410713,Q56188125,Q56188126,Q57417820,Q48240059,Q72344729,Q37877119,Q58291955,Q72209002,Q69336935,Q90888893,Q68260512,Q71613734,
t-800,en,Q67080645,Q68063298,Q1976616,Q4448834,Q70869349,Q27979401,Q2597365,Q54896546,Q54896058,Q54949189,Q66215467,Q17412877,Q89595683,Q86400203,Q79887432,Q84040514,Q88248128,Q522889,Q90707955,Q2299267,Q89753280,Q79217296,Q88270630,Q86856279,Q88594985,Q86134328,Q85380999,Q77029734,Q86428792,Q86715790,Q79552665,Q88764775,Q82721078,Q17083105,Q88738143,Q87452906,Q77035405,Q77030281,Q87816854,Q77030016,Q82720973,Q21174486,Q21169176,Q18875400,Q18527765,Q18527762,Q18530423,Q19325196,Q91612435,Q5196687,
table sets,en,Q56148400,Q278425,Q6051948,Q16952586,Q1191255,Q1757989,Q58992726,Q104147921,Q20199695,Q2378396,Q95520385,Q3408351,Q3048434,Q56291835,Q31178373,Q80503589,Q83562599,Q991810,Q75592498,Q31078849,Q75595271,Q64225608,Q99527920,Q193099,Q75598083,Q63495428,Q80202505,Q7210023,Q347690,Q60156344,Q67382842,Q95399545,Q18206532,Q97328133,Q78282888,Q24898611,Q16241958,Q1366302,Q3513433,Q90520042,Q58692868,Q50673328,Q33540416,Q98805174,Q5001288,Q57396564,Q59051653,Q34289463,Q58486725,Q131436,
tabula de peutinger,en,Q12767,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
