Big Ben,en,Q41225,Q4905080,Q858516,Q2902145,Q858503,Q342107,Q12785867,Q21937151,Q21939306,Q31473279,Q21937152,Q21966177,Q4905078,Q31708143,Q23959291,Q21963571,Q31708174,Q21963572,Q31708159,Q31676809,Q31880297,Q97331712,Q49399531,Q31688414,Q4905081,Q4905082,Q51622858,Q28042556,Q2676434,Q64539830,Q3599630,Q30901872,Q96278603,Q4905086,Q4905083,Q21958540,Q97331713,Q22413738,Q7249006,Q21938562,Q21918094,Q29096490,Q4687030,Q29075175,Q24263564,Q816453,Q3486618,Q295364,Q599161,Q537679,
aceti,en,Q37311962,Q95570148,Q63123409,Q105062480,Q14509808,Q1368890,Q98094549,Q50695125,Q3619136,Q31794307,Q3992690,Q57014823,Q3604286,Q96183851,Q62874419,Q75844898,Q48672,Q58202692,Q10380081,Q21548141,Q63123421,Q63123418,Q63123414,Q67683741,Q79335481,Q59092870,Q69553493,Q76692130,Q76186890,Q81059836,Q78382089,Q80672868,Q68877725,Q73570421,Q71884784,Q59092890,Q59243636,Q77108928,Q72091104,Q37049366,Q80672863,Q70052345,Q67000321,Q76786781,Q68862042,Q67506944,Q66965006,Q67350471,Q77130894,Q67658862,
Achuar people of Ecuador,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
ACTIVE SITE,en,Q423026,Q24778363,Q24724853,Q24783277,Q24769127,Q24776745,Q24726900,Q24788217,Q24723774,Q24781399,Q24788183,Q24780869,Q24770221,Q24783235,Q24788339,Q24741096,Q24724375,Q24777789,Q24722416,Q24723561,Q24783188,Q24740369,Q24784845,Q24722439,Q24788522,Q24721586,Q24738472,Q24738578,Q24785044,Q24720066,Q24724296,Q24766994,Q24769524,Q24766650,Q24779732,Q24722746,Q24724140,Q24786354,Q24738867,Q24719593,Q24779647,Q24785294,Q24766970,Q24726204,Q24721995,Q24781404,Q24768014,Q24725433,Q24770631,Q24719708,
Actors of uzalo,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
actress Valérie Maës,en,Q16185756,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Actualite de france,fr,Q3201453,Q81627089,Q3187102,Q1344163,Q55220860,Q64624922,Q30306812,Q55332370,Q1277549,Q1450568,Q3590033,Q2701714,Q1450557,Q16024600,Q19952024,Q42402151,Q104776140,Q90743212,Q47289204,Q49651900,Q103853965,Q101104147,Q101104136,Q46699226,Q78628219,Q13391399,Q101196172,Q103851263,Q47295031,Q74517699,Q38263581,Q47165785,Q83692080,Q33107186,Q104804843,Q48993002,Q47516649,Q47265210,Q52602440,Q47289582,Q47299577,Q64524978,Q42309408,Q67404073,Q33258099,Q47264020,Q47301658,Q47246537,Q56373196,Q47502187,
address of Afghanistan air base,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
adenocarcinoma,en,Q356033,Q82315194,Q79495482,Q843799,Q18555055,Q55787984,Q18554959,Q18556047,Q18555946,Q18555277,Q18556045,Q18557775,Q18555274,Q18556545,Q18556189,Q7132981,Q18555956,Q54808310,Q18556542,Q18556157,Q5130800,Q55880513,Q18555221,Q18556985,Q18555273,Q55780172,Q18556553,Q18556563,Q55780098,Q93456580,Q27902825,Q54813524,Q54808732,Q54813521,Q54808213,Q55779823,Q54808730,Q54955559,Q54807830,Q54938674,Q98134208,Q54796906,Q54832167,Q54938680,Q54808311,Q54938660,Q54947492,Q54947496,Q54938705,Q19000986,
adenoides,en,Q25364995,Q9251731,Q552087,Q68469401,Q68469443,Q68469420,Q15431701,Q85043369,Q85043408,Q85034447,Q36182590,Q73846289,Q55718033,Q72270451,Q55358252,Q75598550,Q42956768,Q76205145,Q41775194,Q42446063,Q74136249,Q74780585,Q53806691,Q85151648,Q77075539,Q104456819,Q79499978,Q35020961,Q42347227,Q82087862,Q73103028,Q42448116,Q67599295,Q42292226,Q73948124,Q42448750,Q75719538,Q77419333,Q36296928,Q46918287,Q75736278,Q74742174,Q53593619,Q73356633,Q69434742,Q74725223,Q70877744,Q42438967,Q68472195,Q45039074,
adobe audition icon,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
